"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","654","577","65.4","57.699999999999996"
"scientific reasoning","122","89","68","72.95081967213115","55.73770491803278"
"textbook question answering","158","103","83","65.18987341772153","52.53164556962025"
"numeric commonsense","144","45","48","31.25","33.33333333333333"
"arithmetic reasoning","353","186","206","52.69121813031161","58.35694050991501"
"visual question answering","179","94","89","52.513966480446925","49.72067039106145"
"geometry reasoning","239","184","140","76.98744769874477","58.57740585774059"
"algebraic reasoning","281","214","151","76.15658362989323","53.736654804270465"
"geometry problem solving","208","176","125","84.61538461538461","60.09615384615385"
"math word problem","186","108","118","58.06451612903226","63.44086021505376"
"logical reasoning","37","18","9","48.64864864864865","24.324324324324326"
"figure question answering","269","173","162","64.31226765799256","60.223048327137555"
"statistical reasoning","301","198","207","65.78073089700996","68.77076411960132"
